,Position,Title,Link,Cited_by,Pub_Info,Snippet
45,5,Analyzing resilience of urban networks: a preliminary step towards more flood resilient cities,https://nhess.copernicus.org/articles/13/221/2013/,169,"S Lhomme, D Serre, Y Diab… - Natural hazards and …, 2013 - nhess.copernicus.org","… Technical networks (ie, transportation networks, the Internet) … complex networks which also include biological and social … and refinement of network models and graph–theoretical …"
46,6,Studying the topology of transportation systems through complex networks: handle with care,https://www.hindawi.com/journals/jat/2018/3156137/,49,"M Zanin, X Sun, S Wandelt - Journal of Advanced Transportation, 2018 - hindawi.com","… of the robustness and resilience of transportation systems, in … of road networks, in which the physical nature of the graph … a crossroad where more than six streets converge. In spite of …"
47,7,Resilience in railway transport systems: a literature review and research agenda,https://www.tandfonline.com/doi/abs/10.1080/01441647.2020.1728419,135,"N Bešinović - Transport Reviews, 2020 - Taylor & Francis","… resilience in railway transport and gives a comprehensive, up-to-date review of railway resilience … complex network theory which are based on graph properties and most often perform …"
48,8,A graph-theoretic framework for assessing the resilience of sectorised water distribution networks,https://link.springer.com/article/10.1007/S11269-016-1245-6,179,"M Herrera, E Abraham, I Stoianov - Water Resources Management, 2016 - Springer","… interconnected by links forming graph-bridges, which transport water from the transmission … topology by sector-nodes reduces the dimensionality of complex networks. Figure 5b shows …"
49,9,Damage and fluctuations induce loops in optimal transport networks,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.104.048704,337,"E Katifori, GJ Szöllősi, MO Magnasco - Physical review letters, 2010 - APS","… of a complex biological network, endowing leaves with a … density of loops in transport networks: resilience to damage and … can be shown to be topologically a tree, a loopless graph such …"
50,10,Urban resilience: A civil engineering perspective,https://www.mdpi.com/175362,51,"A Bozza, D Asprone, F Fabbrocino - Sustainability, 2017 - mdpi.com","… quantifying resilience according to the complex networks theory. … resilience in transportation networks, being modelled as … , resilience is a proxy for the mathematical feature of the graph, …"
51,11,Validating and restoring defense in depth using attack graphs,https://ieeexplore.ieee.org/abstract/document/4086659/,281,"R Lippmann, K Ingols, C Scott… - MILCOM 2006-2006 …, 2006 - ieeexplore.ieee.org",… using information from network vulnerability scanners. This approach does not scale to large … The predictive graph corresponding to the network in Fig. is shown in Fig. Detailedpseudo …
52,12,Measuring the topological robustness of transportation networks to disaster-induced failures: A percolation approach,https://ascelibrary.org/doi/abs/10.1061/(ASCE)IS.1943-555X.0000533,51,"S Dong, A Mostafizi, H Wang, J Gao… - Journal of Infrastructure …, 2020 - ascelibrary.org","… on city resilience enhancement. A transportation network can be considered a complex … Moreover, acyclic graphing is the prerequisite for much of network measurement calculations. …"
53,13,Predicting road network vulnerability to fluvial flooding using machine learning classifiers: Case study of Houston during Hurricane Harvey,https://ascelibrary.org/doi/abs/10.1061/9780784482865.005,5,"B Abdulla, B Birgisson - Construction Research Congress 2020 …, 2020 - ascelibrary.org",… vulnerable sections in the transportation network with the help … the connectivity in the road network using a graph theory-based … Road networks are modeled as primal graphs. Figure 2 …
54,14,"Structure and dynamics of transportation networks: models, methods and applications",https://www.torrossa.com/gs/resourceProxy?an=5017668&publisher=FZ7200#page=364,93,"C Ducruet, I Lugo - The SAGE handbook of transport studies, 2013 - torrossa.com","… Traditionally, transport networks are studied from a graph theory … , applying complex systems to transport networks is preferred … of road network vulnerability”, Journal of Transport …"
